ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500001,FIR202500007,P009458,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,6,8,2025-02-03,Accepted
CS202500004,FIR202500012,P000879,Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,2,12,2025-02-04,Accepted
CS202500017,FIR202500033,P001128,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,13,17,2025-02-04,Filed
CS202500020,FIR202500037,P008017,Burglary,"BNS 331(3), BNS 331(4)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,5,11,2025-02-05,Filed
CS202500024,FIR202500040,P004235,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,15,19,2025-02-07,Pending Scrutiny
CS202500007,FIR202500021,P000043,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Bengaluru Rural District & Sessions Court,8,11,2025-02-10,Returned for Correction
CS202500046,FIR202500099,P007281,Fraud,BNS 318(4),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,11,28,2025-02-14,Filed
CS202500014,FIR202500019,P007147,Fraud,BNS 318(4),PI Naveen Patil,Bagalkote District & Sessions Court,8,29,2025-02-14,Filed
CS202500074,FIR202500148,P000272,Dacoity,BNS 310(2),PI Harish Naik,Bengaluru Urban District & Sessions Court,12,26,2025-02-17,Filed
CS202500038,FIR202500064,P005332,Theft,BNS 303(2),PI Naveen Patil,Chamarajanagar District & Sessions Court,17,18,2025-02-18,Filed
CS202500019,FIR202500027,P006878,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,14,6,2025-02-21,Returned for Correction
CS202500121,FIR202500286,P006969,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Bidar District & Sessions Court,3,15,2025-02-22,Accepted
CS202500008,FIR202500025,P001090,Murder,BNS 103(1),PI Harish Naik,Bengaluru Urban District & Sessions Court,3,6,2025-02-23,Returned for Correction
CS202500066,FIR202500114,P007092,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,13,13,2025-02-25,Pending Scrutiny
CS202500102,FIR202500231,P009241,Fraud,BNS 318(4),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,14,7,2025-02-25,Pending Scrutiny
CS202500087,FIR202500198,P005947,Dacoity,BNS 310(2),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,4,20,2025-02-26,Pending Scrutiny
CS202500060,FIR202500136,P005286,Dacoity,BNS 310(2),PI Harish Naik,Bengaluru Urban District & Sessions Court,2,23,2025-02-26,Pending Scrutiny
CS202500109,FIR202500195,P006025,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,8,29,2025-02-27,Returned for Correction
CS202500057,FIR202500123,P006712,Burglary,"BNS 331(3), BNS 331(4)",PI Ramesh Gowda,Belagavi District & Sessions Court,6,12,2025-02-27,Pending Scrutiny
CS202500025,FIR202500011,P000686,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,14,23,2025-02-27,Accepted
CS202500075,FIR202500162,P004387,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,17,9,2025-03-01,Pending Scrutiny
CS202500090,FIR202500193,P001191,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Bengaluru Urban District & Sessions Court,6,12,2025-03-01,Returned for Correction
CS202500133,FIR202500271,P001211,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,18,28,2025-03-02,Accepted
CS202500068,FIR202500124,P005309,Burglary,"BNS 331(3), BNS 331(4)",SI Prakash Sharma,Bagalkote District & Sessions Court,2,15,2025-03-02,Filed
CS202500112,FIR202500258,P004828,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Bengaluru Rural District & Sessions Court,14,26,2025-03-04,Pending Scrutiny
